Title,Company,Location,Date Posted,Technologies,Experience,Contract Type,Job Type,Seniority,Description,URL
Data Architect,Axiom Software Solutions,Yorkshire,Reino Unido,,N/A,N/A,N/A,N/A,"Descripción de la oferta de empleo					



						Job Role: Data Architect  
Duration: B2B - 6+ Months Contract (rolling contract)  
Location: Leeds, UK  
Work Mode: Hybrid - should be able to be in the office once every 2/3 weeks.  
 
Job Description:  
Architect who has worked on Databricks platform with GCP experience. They need to be having Admin mention on the cv as well.  
 
Benefits:  
Job Role: Data Architect  
Duration: B2B - 6+ Months Contract (rolling contract)  
Location: Leeds, UK  
Work Mode: Hybrid - should be able to be in the office once every 2/3 weeks.  
 
Job Description:  
Architect who has worked on Databricks platform with GCP experience. They need to be having Admin mention on the cv as well.",https://www.tecnoempleo.com/data-architect-axiom-software-solutions/data-gcp/rf-547911e3f23a338b6242
Solution Architect,Axiom Software Solutions,Bruselas,Bélgica,,N/A,N/A,N/A,N/A,"Descripción de la oferta de empleo					



						Solution Architect  
Location: Stockholm, Sweden  
Duration: 6-12 months  
Hybrid 2-3 days/week at client location  
 
• Designs detailed technical solutions to achieve project goals for the Data Product Pilot  
• Ensures alignment of data product framework, overall business strategy and technology tech/standards and translate to implementation instructions for the team  
• Collaborate closely with development team to oversee solution implementation.  
• Secure alignment with Data Enablement team and Framework guidelines  
• Work with Data Product owner and Lead Data Architect for Data Product Framework to contribute to design and build of re-usable code artifacts  
• Evaluate project constraints to identify alternatives, mitigate risks, and potentially re-engineer processes.  
• Act as a liaison between technical and non-technical stakeholders",https://www.tecnoempleo.com/solution-architect-axiom-software-solutions/data-architect/rf-56b01ae7c29ae3a8644e
Data Analyst AWS,Digital Talent Agency,Barcelona,España,,N/A,N/A,N/A,N/A,"Descripción de la oferta de empleo					



						Oferta de Trabajo: Data Analyst
Modalidad: Remoto (Zona horaria europea)
Empresa: Marketplace europeo Horario: 09:00 a 18:00 (horario europeo)
Requisitos Mínimos:
Conocimiento en Software Engineering: SOLID, Clean Code, TDD/DDD, arquitectura hexagonal, patrones de diseño.
Inglés fluido.
Perfil proactivo, con visión crítica y actualizado en tendencias tecnológicas.
Funciones:
Analizar datos para obtener insights clave del mercado.
Formular hipótesis y diseñar experimentos.
Crear reportes automatizados accesibles para toda la empresa.
Explorar el data lake y desarrollar modelos de Machine Learning.
Requisitos Técnicos:
3+ años de experiencia como Data Analyst/Data Scientist
AWS, SQL, Spark y Python (nivel avanzado)
Visualización de datos (Tableau o similar)
Estadística aplicada y Business Acumen (nivel avanzado)
Git (básico), ML models (intermedio), Inglés (intermedio)
¿Te apasiona el análisis de datos? Únete a un equipo puntero y marca la diferencia en un entorno data-driven. 🚀",https://www.tecnoempleo.com/data-analyst-aws-digital-talent-agency/python-sql-aws-git-data-spark/rf-58a51ca8c2dbd3d9204d
Data Engineer AWS + Python,Serem,N/A,01/04/2025Actualizada,,N/A,N/A,N/A,N/A,"Descripción de la oferta de empleo					



						En serem estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector. Actualmente, nos encontramos en la búsqueda de un Data Engineer con experiencia en Python y AWS para unirse a un equipo en el sector seguros. El candidato ideal debe tener una mentalidad analítica y experiencia en el desarrollo de soluciones de datos escalables.
Requisitos clave
.- Más de 3 años de experiencia en un rol similar.
.- Experiencia avanzada en Python y desarrollo de procesos de datos.
.- Sólidos conocimientos y experiencia en AWS.
.- Comprensión profunda de arquitecturas de Data Warehousing.
.- Experiencia trabajando con GitLab / GitHub para control de versiones.
.- Inglés Proficiency (imprescindible).
.- Mentalidad analítica, capacidad de aprendizaje y adaptación a nuevas tecnologías.
.- Se valorará conocimiento o experiencia en el sector seguros.
Funciones principales
.- Desarrollar y documentar procesos de ingestión, transformación y almacenamiento de datos en Python.
.- Optimizar arquitecturas y pipelines de datos en AWS.
.- Colaborar en la mejora y mantenimiento de soluciones de almacenamiento y procesamiento de datos.
.- Implementar buenas prácticas de desarrollo y versionado de código con GitLab/GitHub.
.- Modalidad híbrida con presencialidad solo 2 días a la semana en la oficina del cliente en Barcelona.",https://www.tecnoempleo.com/data-engineer-aws-python-serem/python-aws-git-data-scala-sem-github-gitlab/rf-d6ca129502c1c3d86e41
Programador/a Servicenow,Serem,N/A,01/04/2025Actualizada,,N/A,N/A,N/A,N/A,"Descripción de la oferta de empleo					



						En Serem, estamos comprometidos con proyectos innovadores y buscamos incorporar a los mejores profesionales para liderar nuestros equipos de trabajo.
Actualmente, nos encontramos en la búsqueda de un Programador/a Senior en ServiceNow, con experiencia sólida en el desarrollo y gestión de plataformas ITSM, para unirse a nuestros equipos en proyectos desafiantes.
Requisitos:
.- Experiencia mínima de 3 años en desarrollo con la plataforma ServiceNow (incluyendo ITSM, ITOM, Discovery, CMDB y otros módulos avanzados).
.- Conocimientos avanzados de Javascript y otras tecnologías relacionadas con el desarrollo en ServiceNow.
.- Experiencia en la configuración, gestión y administración de la CMDB (Configuration Management Database) en ServiceNow.
.- Sólida capacidad de análisis y resolución de problemas complejos, así como experiencia en la integración de ServiceNow con otros sistemas.
.- Proactividad, orientación al detalle y habilidades para trabajar de manera autónoma y en equipo.
.- Deseo de seguir aprendiendo y formándose en nuevas tecnologías y funcionalidades dentro de la plataforma ServiceNow.
Valoramos positivamente:
.- Experiencia en proyectos de automización de procesos mediante la plataforma.
.- Conocimiento de buenas prácticas en el desarrollo sobre ServiceNow.
.- Certificaciones de ServiceNow y/o formación avanzada.
Ofrecemos:
.- Participación en proyectos de alto impacto y con tecnología puntera.
.- Posibilidad de crecimiento profesional en un entorno dinámico e innovador.
.- Modalidad de trabajo flexible: híbrido o remoto según las necesidades del proyecto.
.- Si eres un profesional apasionado por la tecnología y con el deseo de afrontar nuevos retos, ¡te invitamos a unirte a nuestro equipo!
Fomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal.
Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad.
Apoyamos los 10 principios del Pacto Mundial y los 17 Objetivos de Desarrollo Sostenible, en materia de derechos humanos, condiciones laborales, medio ambiente y anticorrupción.
Los procesos de reclutamiento se desarrollan bajo altos estándares de calidad definiendo la incorporación en base a la experiencia y habilidades del candidato.
Somos una empresa española líder en servicios tecnológicos y atracción del talento presente en el mercado desde 1995. Contamos con más de 600 empleados en proyectos tanto nacionales como internacionales en sector TI.",https://www.tecnoempleo.com/programador-servicenow-serem/java-javascript-data-servicenow/rf-8d2f11d5b29db3b08c4f
Data Science - Gen IA,CMV Consultores,N/A,01/04/2025Actualizada,,N/A,N/A,N/A,N/A,"Descripción de la oferta de empleo					



						Desde CMV Consultores estamos buscando incorporar un perfil Data Science con experiencia en IA generativa para un proyecto en colaboración con uno de nuestros principales clientes. 
¿Qué ofrecemos?
Modalidad híbrida en Madrid = 1 día hay que ir a las oficinas del cliente 
Salario en función de la experiencia aportada
Proyecto a largo plazo 
¿Qué tareas tendrás?
Tareas de desarrollo, de implementación y de diseño
 
¿Qué se requiere?
- Conocimientos de arquitecturas GenAI , RAGs y modelos LLM
- Lenguajes (experiencia mínima de 2 años): Python
- Conocimientos en GIT, Jenkins y AWS
- Conocimientos de metodologías ágiles.",https://www.tecnoempleo.com/data-science-gen-ia-cmv-consultores/python-aws-git-data-jenkins-llm/rf-bf571af6b238f36c0f4b
Data Python,CAS TRAINING,N/A,01/04/2025Actualizada,,N/A,N/A,N/A,N/A,"Descripción de la oferta de empleo					



						Buscamos a un/a data engineer con al menos dos años de experiencia en python como GCP  para proyecto del sector telecomunicaciones en modalidad remoto
REQUISITOS
Scripting (unix, Shell) - Google Cloud Platform, Bigquery, seguridad en GCP, Composer Airflow - Python - Diseño modelo de datos y ETL
Ofrecemos:
- Formar parte de un equipo dinámico y altamente cualificado en una empresa en proceso de expansión.
- Participar en proyectos innovadores y punteros para grandes clientes de primer nivel en distintos sectores de mercado.
- Proyectos de larga duración, estabilidad profesional y progresión laboral.
- Contratación indefinida.
- Acceso gratuito al catálogo de formación anual de Cas Training.
- Salario negociable en base a la experiencia y valía del candidato/a.",https://www.tecnoempleo.com/data-python-cas-training/python-data-etl-cloud-gcp-unix/rf-4aa615e1b2e24360cd44
Data Engineer,PSS,N/A,01/04/2025Actualizada,,N/A,N/A,N/A,N/A,"Descripción de la oferta de empleo					



						¿Te apetece formar parte de una compañía del sector IT? Si estás buscando un proyecto estable y seguir evolucionando en tu carrera profesional acompañado del mejor talento, en PSS queremos conocerte.
Actualmente estamos seleccionando un perfil Data Engineer para importante cliente del sector bancario.
Para ello, ¿qué necesitamos?
Spark con Scala
Procesos de streaming (Kafka, event stream, etc.)
Apache Airflow
Almacenamiento S3/COS y formato Parquet
Bases de datos SQL y NoSQL
Herramientas CI/CD (Gitlab, Jenkins, etc.)
Hadoop
Shell scripting
Ciclo de vida del desarrollo de software (SDLC)
Principios y ceremonias ágiles
Contenedorización con Kubernetes
Elasticsearch y Kibana
HVault
Dataiku
Dremio como herramienta para virtualización de datos.
Inglés: B2+
Y llegados a este punto... ¿qué te ofrecemos?
Contrato indefinido con PSS, brindándote estabilidad laboral.
Salario acorde a la experiencia aportada.
Modelo de trabajo : 100% teletrabajo
Proyecto sólido y estable.
Plan de carrera y formación continua, impulsando tu crecimiento profesional.
Retribución flexible con ventajas fiscales: te ofrecemos una gama de opciones, como seguro médico privado, ticket restaurante, ticket guardería y/o ticket transporte, que puedes adaptar a tus necesidades.
Campaña de referenciados: si conoces a alguien en el sector que encaje en nuestras vacantes, invítalo a trabajar contigo y recibirás un premio especial. ¡Comparte esta oportunidad con tus amigos!
Portal de Descuentos: tu acceso exclusivo a ofertas en tecnología, viajes, moda y mucho más.
PSS comprometida con la Igualdad.",https://www.tecnoempleo.com/data-engineer-pss/sql-kubernetes-git-data-ci-cd-spark-jenkins-scala/rf-044a12c422de33441046
Consultor/a de Aplicaciones - Microsoft,Digital Talent Agency,N/A,01/04/2025Actualizada,,N/A,N/A,N/A,N/A,"Descripción de la oferta de empleo					



						Descripción
En Zemsania estamos en la búsqueda de un/a Consultor/a de Aplicaciones - Tecnologías Microsoft para unirse a un equipo innovador en un proyecto desafiante dentro del sector tecnológico. Si tienes experiencia en Azure y te apasiona la gestión de incidentes y la resolución de problemas en entornos Cloud, ¡queremos conocerte!
🎯 Funciones:
📌 Gestión de incidentes de cara al cliente.🚀 Implementación de recursos mediante Azure DevOps.🔐 Gestión de roles RBAC, listas de control de acceso y almacenes de claves.🌐 Administración de listas blancas de recursos (redes) y accesos a Power BI.📚 Documentación de procesos internos.🔎 Diagnóstico y resolución de incidencias en múltiples recursos de Azure, como:Web Apps, Function Apps, Cuentas de almacenamiento.Máquinas virtuales, Discos, Redes virtuales, Firewall.Servidores SQL, Bases de datos SQL, Databricks, Kubernetes.Cosmos DB, Data Factory, Container Registry, Azure Bastion.Runbooks y conexiones de servicio en Azure DevOps.
✅ Requisitos mínimos:
🎓 2-3 años de experiencia en Azure y sus principales recursos.🛠️ Experiencia en resolución de incidencias en Windows, Linux y Azure Cloud.🌍 Conocimientos de redes: Proxies, Switches, solución de problemas de conexión.💻 Experiencia en manejo, administración y mantenimiento de Máquinas Virtuales.🇬🇧 Nivel de inglés B2/C1 (hablado y escrito).
🌟 Requisitos deseables:
🎖️ Certificación Azure Administrator (AZ-104) y/o Azure Fundamentals (AZ-900).☁️ Experiencia en diseño de soluciones en la nube.🖥️ Conocimiento de PowerShell.🔍 Atención al detalle y orientación al cliente.🤝 Trabajo en equipo y buena organización.
📍 Ubicación y condiciones:📍 Madrid / Barcelona – 100% remoto.❌ No se aceptan candidatos fuera de España.🕒 Proyecto con inicio el 17/03/2025 y posibilidad de prórroga en 2026.💻 El cliente proporciona el equipo de trabajo.
🚀 ¿Qué ofrecemos?🏆 Proyecto estable y de larga duración en un entorno tecnológico puntero.📈 Desarrollo profesional con posibilidad de certificaciones y formación.🌎 Trabajo 100% remoto con un equipo internacional.💼 Incorporación en una empresa en crecimiento con oportunidades de evolución.
En Zemsania promovemos la igualdad de oportunidades y apostamos por un entorno de trabajo diverso e inclusivo. Todas las candidaturas serán consideradas sin distinción de género, edad, origen o cualquier otra condición.
📩 Si cumples con el perfil y buscas un nuevo reto profesional, inscríbete ahora",https://www.tecnoempleo.com/consultor-aplicaciones-microsoft-digital-talent-ag/azure-devops-rbac-power/rf-51a91f393252d3221944
Data Engineer,Krell Consulting & Training,Madrid,España,,N/A,N/A,N/A,N/A,"Descripción de la oferta de empleo					



						Desarrollar soluciones utilizando Python con enfoque funcional para manejo de datos.
Experiencia sólida en bases de datos relacionales y SQL.
Creación y mantenimiento de pipelines de datos utilizando REST y SOAP APIs.
Experiencia en control de versiones utilizando Git y CI/CD con enfoque multi-rama, Exposición a DBT será altamente valorada.",https://www.tecnoempleo.com/data-engineer-madrid/data-python-sql/rf-77741861e277032bea49
