Title,Company,URL
Data Architect,Axiom Software Solutions,https://www.tecnoempleo.com/data-architect-axiom-software-solutions/data-gcp/rf-547911e3f23a338b6242
Solution Architect,Axiom Software Solutions,https://www.tecnoempleo.com/solution-architect-axiom-software-solutions/data-architect/rf-56b01ae7c29ae3a8644e
Data Analyst AWS,Digital Talent Agency,https://www.tecnoempleo.com/data-analyst-aws-digital-talent-agency/python-sql-aws-git-data-spark/rf-58a51ca8c2dbd3d9204d
Data Engineer AWS + Python,Serem,https://www.tecnoempleo.com/data-engineer-aws-python-serem/python-aws-git-data-scala-sem-github-gitlab/rf-d6ca129502c1c3d86e41
Programador/a Servicenow,Serem,https://www.tecnoempleo.com/programador-servicenow-serem/java-javascript-data-servicenow/rf-8d2f11d5b29db3b08c4f
Data Science - Gen IA,CMV Consultores,https://www.tecnoempleo.com/data-science-gen-ia-cmv-consultores/python-aws-git-data-jenkins-llm/rf-bf571af6b238f36c0f4b
Data Python,CAS TRAINING,https://www.tecnoempleo.com/data-python-cas-training/python-data-etl-cloud-gcp-unix/rf-4aa615e1b2e24360cd44
Data Engineer,PSS,https://www.tecnoempleo.com/data-engineer-pss/sql-kubernetes-git-data-ci-cd-spark-jenkins-scala/rf-044a12c422de33441046
Consultor/a de Aplicaciones - Microsoft,Digital Talent Agency,https://www.tecnoempleo.com/consultor-aplicaciones-microsoft-digital-talent-ag/azure-devops-rbac-power/rf-51a91f393252d3221944
Data Engineer,Krell Consulting & Training,https://www.tecnoempleo.com/data-engineer-madrid/data-python-sql/rf-77741861e277032bea49
Senior Data Engineer,HAYS,https://www.tecnoempleo.com/senior-data-engineer-hays/pyspark-sql-databricks/rf-b651170b422dd3175d43
Ingeniero líder software de datos,EPAM,https://www.tecnoempleo.com/ingeniero-lider-software-datos-epam/aws-databricks-kubernetes-spark-airflo/rf-0bc21522820c63066b46
Business Analyst & Data Architect,HAYS,https://www.tecnoempleo.com/business-analyst-data-architect-hays/data/rf-8b521944d22b03387146
"Data Scientist AI/ML, AWS",Amazon,https://www.tecnoempleo.com/data-scientist-ai-ml-aws-amazon/aws-data/rf-41cb15e8928ce33c3040
Data acquisition lead,Axiom Software Solutions,https://www.tecnoempleo.com/data-acquisition-lead-axiom-software-solutions/data/rf-5ab41aeed2abd3c74540
Ingeniero Desarrollo Scala y Spark,Arelance,https://www.tecnoempleo.com/ingeniero-desarrollo-scala-spark-arelance/java-microservicios-scala-spark-/rf-daf71202723fa36a4b4a
"Data Analyst (SQL, Spark y Python)",Digital Talent Agency,https://www.tecnoempleo.com/data-analyst-sql-spark-python-digital-talent-agenc/python-sql-git-data-spa/rf-3fc41f215255a3158c4e
Técnico ABAP HCM (Integración),ConsulSAP,https://www.tecnoempleo.com/tecnico-abap-hcm-integracion-consulsap/sap-api-data-hana-abap-rest/rf-ad11134222b3732ef043
Data Scientist (Python/Pyspark),Arelance,https://www.tecnoempleo.com/data-scientist-python-pyspark-arelance/python-sql-aws-data-spark-pyspark/rf-a3bd1492d23633f60543
Data Engineer Azure,NPR Spain,https://www.tecnoempleo.com/data-engineer-azure-npr-spain/azure-data-factory-sql-server-databricks-big/rf-e617182b627d43b3cf43
Machine Learning Engineer,Serem,https://www.tecnoempleo.com/machine-learning-engineer-serem/python-c-data-ci-cd-scala/rf-26151c30f2ba83675f4d
FX Business analyst,Axiom Software Solutions,https://www.tecnoempleo.com/fx-business-analyst-axiom-software-solutions/python-linux-aws-agile-data-e/rf-df641a19b2dcf3471f47
Senior Business Warehouse Developer,Pixelcode Technologies,https://www.tecnoempleo.com/senior-business-warehouse-developer-pixelcode-tech/sap-oracle-data-etl-han/rf-e0b01996f25bd3bfd64c
QA Automatization Developer,Axiom Software Solutions,https://www.tecnoempleo.com/qa-automatization-developer-axiom-software-solutio/java-python-sql-api-jir/rf-da2f19e0e24a638c744a
Senior Data Analyst,Deloitte,https://www.tecnoempleo.com/senior-data-analyst-deloitte/data/rf-14ad138fb2620387d54d
Data Scientist (Temp Agency),Airbus,https://www.tecnoempleo.com/data-scientist-temp-agency-airbus/data-genai-nlp-llm/rf-7485156fa2b13388e249
Técnico/a de Datos,Page Personnel,https://www.tecnoempleo.com/tecnico-datos-page-personnel/data/rf-e9891e71b2c7032a304d
Database Administrator (DBA),Tamarind Intelligence,https://www.tecnoempleo.com/database-administrator-dba-tamarind-intelligence/sql-aws-api-data-cloud-sc/rf-9e6f1178b281d33dfd4f
Azure Synapse Data Engineer,CAS TRAINING,https://www.tecnoempleo.com/azure-synapse-data-engineer-cas-training/azure-synapse-big-data-mlops/rf-0cd316a842e1837e4442
Data Engineer,CAS TRAINING,https://www.tecnoempleo.com/data-engineer-cas-training/sql-git-data-ci-cd-spark-jenkins-scala-kafka/rf-13ed18c872fc735b4a45
Senior Data Engineering & BI,NPR Spain,https://www.tecnoempleo.com/senior-data-engineering-bi-npr-spain/bi-cloud-azure-aws-databricks-gcp-sno/rf-cd601203921093dcfd42
AI/ML Engineer,Axiom Software Solutions,https://www.tecnoempleo.com/ai-ml-engineer-axiom-software-solutions/python-git-data-spark-excel-lan-py/rf-dc7b105822fee39d524a
"DBA Oracle perfil medio (RAC, DataGuard)",PSS,https://www.tecnoempleo.com/dba-oracle-perfil-medio-rac-dataguard-pss/sql-linux-oracle-data-db2-rest-u/rf-53c91a9df2e073f4e549
PostgreSQL Developer,Axiom Software Solutions,https://www.tecnoempleo.com/postgresql-developer-axiom-software-solutions/sql-oracle-data-postgresql-d/rf-70a010f592dcc3f71943
Data Engineer en AWS con Inglés Alto,PSS,https://www.tecnoempleo.com/data-engineer-en-aws-con-ingles-alto-pss/sql-python-aws-scrum-data-agile-r/rf-13a4178a5252d3ef734d
Analista Programador/Data Scientist/BI,Invoin,https://www.tecnoempleo.com/analista-programador-data-scientist-bi-hibrido/nodejs-javascript-react-htm/rf-67431d3912e3b39a5c40
Arquitecto/a Big Data,Second Window,https://www.tecnoempleo.com/arquitecto-big-data-second-window/big-data-aws-azure/rf-58e1186dd221d33b774d
API Support Engineer,Bcnc Group,https://www.tecnoempleo.com/api-support-engineer-bcnc-group/api-rest-swagger-openapi-tcp-ip-redes-azur/rf-5b9918dfc2df4344c84f
Data Engineer - Fintech,Ebury,https://www.tecnoempleo.com/data-engineer-fintech-ebury/etl-data-bi/rf-8c8519da622583f98d46
Data Platform Developer,Michael Page,https://www.tecnoempleo.com/data-platform-developer-michael-page/azure-power-bi-data-bricks-salesforce/rf-508c1959d2c97319ec40
Ingeniero líder software de datos,EPAM,https://www.tecnoempleo.com/ingeniero-lider-software-datos-epam/aws-databricks-kubernetes-spark-airflo/rf-1d181674221103ab1741
Data Engineer / BI,PSS,https://www.tecnoempleo.com/data-engineer-bi-pss/sql-azure-api-data-cloud-etl-rest/rf-586b12bdf290a3a87c44
